rank,zip,population,income,startups,national_rank,unit,ca,station,line,income_index,startups_index,income_prop,startups_prop,total entries
24,10025,97086,49733,1,6044,R191,R170,103 ST,1,0.99,0.09,0.03,0.0,1317661
24,10025,97086,49733,1,6044,R314,N037,103 ST,BC,0.99,0.09,0.03,0.0,492585
24,10025,97086,49733,1,6044,R192,R172,110 ST-CATHEDRL,1,0.99,0.09,0.03,0.0,1055599
24,10025,97086,49733,1,6044,R192,R171,110 ST-CATHEDRL,1,0.99,0.09,0.03,0.0,243582
24,10025,97086,49733,1,6044,R164,R160A,66 ST-LINCOLN,1,0.99,0.09,0.03,0.0,555912
24,10025,97086,49733,1,6044,R164,R159,66 ST-LINCOLN,1,0.99,0.09,0.03,0.0,578759
24,10025,97086,49733,1,6044,R164,R160,66 ST-LINCOLN,1,0.99,0.09,0.03,0.0,1077790
24,10025,97086,49733,1,6044,R168,R168A,96 ST,123,0.99,0.09,0.03,0.0,1394166
24,10025,97086,49733,1,6044,R251,N040,96 ST,BC,0.99,0.09,0.03,0.0,390792
24,10025,97086,49733,1,6044,R251,N039,96 ST,BC,0.99,0.09,0.03,0.0,578707
25,10018,4255,48705,23,6447,R054,R501,5 AVE-BRYANT PK,7BDFM,0.97,2.07,0.03,0.05,1203955
26,10036,18751,41002,18,11152,R010,N062A,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04,2672680
26,10036,18751,41002,18,11152,R010,N060,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04,1416026
26,10036,18751,41002,18,11152,R011,N063A,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04,2513302
26,10036,18751,41002,18,11152,R011,N062,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04,1669928
26,10036,18751,41002,18,11152,R011,N063,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04,1610824
26,10036,18751,41002,18,11152,R020,N500,47-50 ST-ROCK,BDFM,0.82,1.62,0.02,0.04,2806686
26,10036,18751,41002,18,11152,R020,N501,47-50 ST-ROCK,BDFM,0.82,1.62,0.02,0.04,2011839
26,10036,18751,41002,18,11152,R020,N501A,47-50 ST-ROCK,BDFM,0.82,1.62,0.02,0.04,886424
27,10001,17310,40932,44,11228,R272,R133,28 ST,1,0.81,3.96,0.02,0.1,1000280
27,10001,17310,40932,44,11228,R272,R134,28 ST,1,0.81,3.96,0.02,0.1,446987
27,10001,17310,40932,44,11228,R082,A029,28 ST-BROADWAY,NR,0.81,3.96,0.02,0.1,574315
27,10001,17310,40932,44,11228,R082,A027,28 ST-BROADWAY,NR,0.81,3.96,0.02,0.1,713032
27,10001,17310,40932,44,11228,R022,A022,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1,1901376
27,10001,17310,40932,44,11228,R022,N506,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1,3487042
27,10001,17310,40932,44,11228,R022,N505,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1,2100372
27,10001,17310,40932,44,11228,R023,A025,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1,2499444
27,10001,17310,40932,44,11228,R023,N507,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1,2125310
27,10001,17310,40932,44,11228,R012,N067,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1,2401897
27,10001,17310,40932,44,11228,R012,N068,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1,751300
27,10001,17310,40932,44,11228,R012,N070,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1,933130
27,10001,17310,40932,44,11228,R012,N072,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1,2690970
27,10001,17310,40932,44,11228,R013,N071,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1,659466
27,10001,17310,40932,44,11228,R013,N069,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1,582090
27,10001,17310,40932,44,11228,R013,N073,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1,561957
27,10001,17310,40932,44,11228,R031,R141,34 ST-PENN STA,123,0.81,3.96,0.02,0.1,1322681
27,10001,17310,40932,44,11228,R031,R135,34 ST-PENN STA,123,0.81,3.96,0.02,0.1,1194064
27,10001,17310,40932,44,11228,R031,R137,34 ST-PENN STA,123,0.81,3.96,0.02,0.1,316273
27,10001,17310,40932,44,11228,R031,R139,34 ST-PENN STA,123,0.81,3.96,0.02,0.1,554491
27,10001,17310,40932,44,11228,R293,R138,34 ST-PENN STA,123ACE,0.81,3.96,0.02,0.1,4809803
27,10001,17310,40932,44,11228,R293,R142,34 ST-PENN STA,123ACE,0.81,3.96,0.02,0.1,925836
28,10009,58595,40176,2,11980,R248,H007,1 AVE,L,0.8,0.18,0.02,0.0,1360820
28,10009,58595,40176,2,11980,R248,H008,1 AVE,L,0.8,0.18,0.02,0.0,1081203
29,10013,25042,38304,51,13643,R118,A066,CANAL ST,JNQRZ6,0.76,4.59,0.02,0.12,1279426
29,10013,25042,38304,51,13643,R139,N089,CANAL ST,ACE,0.76,4.59,0.02,0.12,1291000
29,10013,25042,38304,51,13643,R139,N090,CANAL ST,ACE,0.76,4.59,0.02,0.12,659172
29,10013,25042,38304,51,13643,R320,R119,CANAL ST,1,0.76,4.59,0.02,0.12,479209
29,10013,25042,38304,51,13643,R320,R120,CANAL ST,1,0.76,4.59,0.02,0.12,115744
29,10013,25042,38304,51,13643,R462,A043,CANAL ST,JNQRZ6,0.76,4.59,0.02,0.12,1445245
29,10013,25042,38304,51,13643,R463,A046,CANAL ST,JNQRZ6,0.76,4.59,0.02,0.12,2272447
29,10013,25042,38304,51,13643,R343,R117,FRANKLIN ST,1,0.76,4.59,0.02,0.12,464946
29,10013,25042,38304,51,13643,R343,R118,FRANKLIN ST,1,0.76,4.59,0.02,0.12,87224
30,10033,58259,31348,0,21836,R126,N010,175 ST,A,0.62,0.0,0.02,0.0,1078773
30,10033,58259,31348,0,21836,R126,N011,175 ST,A,0.62,0.0,0.02,0.0,284320
30,10033,58259,31348,0,21836,R174,N007A,181 ST,A,0.62,0.0,0.02,0.0,609427
30,10033,58259,31348,0,21836,R174,N009,181 ST,A,0.62,0.0,0.02,0.0,536011
30,10033,58259,31348,0,21836,R260,R183,181 ST,1,0.62,0.0,0.02,0.0,1174096
31,10038,15574,31316,3,21877,R014,N095,FULTON ST,ACJZ2345,0.62,0.27,0.02,0.01,2616425
31,10038,15574,31316,3,21877,R014,R206,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01,280445
31,10038,15574,31316,3,21877,R014,R208,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01,401054
31,10038,15574,31316,3,21877,R014,R205A,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01,1088104
31,10038,15574,31316,3,21877,R028,R113,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01,646622
31,10038,15574,31316,3,21877,R028,R114,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01,211087
31,10038,15574,31316,3,21877,R027,R111,WALL ST,23,0.62,0.27,0.02,0.01,854237
31,10038,15574,31316,3,21877,R027,R110,WALL ST,23,0.62,0.27,0.02,0.01,1037153
31,10038,15574,31316,3,21877,R027,R112,WALL ST,23,0.62,0.27,0.02,0.01,305651
31,10038,15574,31316,3,21877,R027,R112A,WALL ST,23,0.62,0.27,0.02,0.01,304585
32,10034,41756,29479,0,24169,R037,R188,207 ST,1,0.59,0.0,0.02,0.0,674908
32,10034,41756,29479,0,24169,R038,R190,215 ST,1,0.59,0.0,0.02,0.0,195967
32,10034,41756,29479,0,24169,R185,N003,DYCKMAN-200 ST,A,0.59,0.0,0.02,0.0,717887
32,10034,41756,29479,0,24169,R173,N002A,INWOOD-207 ST,A,0.59,0.0,0.02,0.0,577088
32,10034,41756,29479,0,24169,R173,N001,INWOOD-207 ST,A,0.59,0.0,0.02,0.0,402006
33,10040,46599,27905,0,25782,R280,N006A,190 ST,A,0.56,0.0,0.01,0.0,490518
33,10040,46599,27905,0,25782,R274,R185,191 ST,1,0.56,0.0,0.01,0.0,831091
33,10040,46599,27905,0,25782,R036,R186,DYCKMAN ST,1,0.56,0.0,0.01,0.0,733776
34,10037,16984,26561,0,27057,R207,R306,135 ST,23,0.53,0.0,0.01,0.0,1151046
34,10037,16984,26561,0,27057,R207,R307,135 ST,23,0.53,0.0,0.01,0.0,400722
34,10037,16984,26561,0,27057,R144,R251,96 ST,6,0.53,0.0,0.01,0.0,2806284
35,10032,63842,26237,0,27371,R331,N017,155 ST,C,0.52,0.0,0.01,0.0,264651
35,10032,63842,26237,0,27371,R193,R180,157 ST,1,0.52,0.0,0.01,0.0,875322
35,10032,63842,26237,0,27371,R193,R179,157 ST,1,0.52,0.0,0.01,0.0,253664
35,10032,63842,26237,0,27371,R296,N016A,163 ST-AMSTERDM,C,0.52,0.0,0.01,0.0,446519
35,10032,63842,26237,0,27371,R035,N012,168 ST-BROADWAY,1AC,0.52,0.0,0.01,0.0,749232
35,10032,63842,26237,0,27371,R035,N013,168 ST-BROADWAY,AC1,0.52,0.0,0.01,0.0,604053
35,10032,63842,26237,0,27371,R035,R182,168 ST-BROADWAY,1AC,0.52,0.0,0.01,0.0,1142476
36,10031,60221,24285,0,28645,R169,R176,137 ST-CITY COL,1,0.48,0.0,0.01,0.0,1119103
36,10031,60221,24285,0,28645,R169,R175,137 ST-CITY COL,1,0.48,0.0,0.01,0.0,246306
